ticker,asset_class,currency,vol_annual,mdd_1y,var_95_1y,cvar_95_1y,beta_sp500_1y,downside_beta_sp500_1y,beta_ks200_1y,downside_beta_ks200_1y,corr_sp500_60d,corr_kospi200_60d,beta_soxx_1y,downside_beta_soxx_1y,corr_soxx_60d,beta_uso_1y,beta_gld_1y,avg_stress_ret,adv_60,vol_annual_krw,mdd_1y_krw,var_95_1y_krw,cvar_95_1y_krw,beta_sp500_1y_krw,downside_beta_sp500_1y_krw,beta_ks200_1y_krw,downside_beta_ks200_1y_krw,corr_sp500_60d_krw,corr_kospi200_60d_krw,beta_soxx_1y_krw,downside_beta_soxx_1y_krw,corr_soxx_60d_krw,beta_usdkrw_1y,beta_uso_1y_krw,beta_gld_1y_krw,beta_kr_financial_basket_1y_krw,avg_stress_ret_krw,return_observation_count,stress_observation_count,sp500_overlap_count,ks200_overlap_count,soxx_overlap_count,usdkrw_overlap_count,uso_overlap_count,gld_overlap_count,kr_financial_overlap_count,annual_return_1y_krw,sharpe_1y_krw_proxy,data_version
051910.KS,kr_stock,KRW,0.438376,-0.308701,-0.046009,-0.079053,0.035811,0.078886,1.131428,1.121067,-0.305782,0.714508,-0.015487,0.013542,-0.043674,0.023057,-0.058164,-0.007487,139570952357.56876,0.438376,-0.308701,-0.046009,-0.079053,0.035811,0.078886,1.131428,1.121067,-0.305782,0.714508,-0.015487,0.013542,-0.043674,-0.390508,0.023057,-0.058164,0.483812,-0.007487,4781,266,4621,4725,1185,4195,4621,4621,4781,0.737957,1.256513,20260520
055550.KS,kr_stock,KRW,0.327382,-0.165477,-0.026715,-0.042031,-0.009201,0.071834,0.885315,0.898327,-0.304527,0.660168,0.007425,0.001018,-0.078856,-0.002961,-0.106119,-0.00511,144797096074.83707,0.327382,-0.165477,-0.026715,-0.042031,-0.009201,0.071834,0.885315,0.898327,-0.304527,0.660168,0.007425,0.001018,-0.078856,-0.337086,-0.002961,-0.106119,0.983115,-0.00511,4781,266,4621,4725,1185,4195,4621,4621,4781,0.870503,2.496017,20260520
066570.KS,kr_stock,KRW,0.390107,-0.274659,-0.034416,-0.061415,0.060252,0.104082,0.931739,0.940461,-0.239123,0.52087,0.031012,-0.070547,-0.107234,0.036754,-0.051512,-0.006955,265575773598.21576,0.390107,-0.274659,-0.034416,-0.061415,0.060252,0.104082,0.931739,0.940461,-0.239123,0.52087,0.031012,-0.070547,-0.107234,-0.334288,0.036754,-0.051512,0.447613,-0.006955,4781,266,4621,4725,1185,4195,4621,4621,4781,2.0825,3.642056,20260520
068270.KS,kr_stock,KRW,0.488696,-0.262777,-0.03276,-0.048855,-0.040862,-0.000214,0.683955,0.809507,-0.374119,0.694424,-0.063269,-0.015903,-0.134282,-0.001845,-0.069269,-0.002263,118699422186.66667,0.488696,-0.262777,-0.03276,-0.048855,-0.040862,-0.000214,0.683955,0.809507,-0.374119,0.694424,-0.063269,-0.015903,-0.134282,-0.330203,-0.001845,-0.069269,0.302689,-0.002263,4781,266,4621,4725,1185,4195,4621,4621,4781,0.186145,0.424984,20260520
105560.KS,kr_stock,KRW,0.351607,-0.176359,-0.034217,-0.050335,0.004008,0.110282,0.852277,0.905735,-0.32355,0.729959,0.021842,0.025002,-0.019697,-0.009579,-0.117525,-0.006056,198927814577.92657,0.351607,-0.176359,-0.034217,-0.050335,0.004008,0.110282,0.852277,0.905735,-0.32355,0.729959,0.021842,0.025002,-0.019697,-0.398514,-0.009579,-0.117525,1.063914,-0.006056,4781,266,4621,4725,1185,4195,4621,4621,4781,0.768095,1.972766,20260520
207940.KS,kr_stock,KRW,0.381299,-0.294656,-0.030477,-0.052924,0.007036,-0.053818,0.561753,0.634677,-0.361018,0.702645,-0.0285,-0.065175,-0.108418,-0.029459,0.001996,-0.00163,85936954750.0,0.381299,-0.294656,-0.030477,-0.052924,0.007036,-0.053818,0.561753,0.634677,-0.361018,0.702645,-0.0285,-0.065175,-0.108418,-0.534893,-0.029459,0.001996,0.260768,-0.00163,2326,105,2250,2322,1185,2054,2250,2250,2326,-0.143116,-0.502743,20260520
AAPL,us_stock,USD,0.319704,-0.137377,-0.023301,-0.031526,1.0541,0.997283,0.046329,-0.01584,0.674673,-0.24841,0.469661,0.505993,0.425795,0.208233,0.204972,-0.001743,17151473581127.205,0.319704,-0.137377,-0.023301,-0.031526,1.0541,0.997283,0.046329,-0.01584,0.674673,-0.24841,0.469661,0.505993,0.425795,0.604097,0.208233,0.204972,-0.036447,-0.001743,4862,261,4862,4595,1262,4283,4862,4862,4621,0.526149,2.062235,20260520
AMZN,us_stock,USD,0.382455,-0.210292,-0.027657,-0.038416,1.124461,1.057538,0.037182,-0.033543,0.733238,-0.227339,0.594879,0.71973,0.57449,0.20326,0.20974,4.7e-05,15685481887479.38,0.382455,-0.210292,-0.027657,-0.038416,1.124461,1.057538,0.037182,-0.033543,0.733238,-0.227339,0.594879,0.71973,0.57449,0.592667,0.20326,0.20974,-0.031618,4.7e-05,4862,261,4862,4595,1262,4283,4862,4862,4621,0.345345,1.028381,20260520
AVGO,us_stock,USD,0.383994,-0.263454,-0.038325,-0.050972,1.29277,1.333386,0.110801,0.059117,0.64075,-0.101067,0.923302,0.955804,0.646255,0.226379,0.206553,0.00084,12706123020331.375,0.383994,-0.263454,-0.038325,-0.050972,1.29277,1.333386,0.110801,0.059117,0.64075,-0.101067,0.923302,0.955804,0.646255,0.507418,0.226379,0.206553,-0.005544,0.00084,4221,158,4221,3983,1262,3723,4221,4221,4000,0.953353,2.16565,20260520
BNB-USD,crypto,USD,0.796967,-0.547629,-0.045914,-0.072664,1.030875,1.221815,-0.075268,-0.111851,0.504468,-0.241876,0.470965,0.507963,0.360137,0.140659,0.48271,0.008653,1460613351491387.5,0.796967,-0.547629,-0.045914,-0.072664,1.030875,1.221815,-0.075268,-0.111851,0.504468,-0.241876,0.470965,0.507963,0.360137,0.79033,0.140659,0.48271,-0.033258,0.008653,3113,107,2140,2085,1262,2216,2140,2140,2084,-0.208939,-0.496172,20260520
BRK-B,us_stock,USD,0.236166,-0.107184,-0.017088,-0.024297,0.832771,0.825047,0.030477,0.0331,0.409711,-0.311715,0.185349,0.171822,-0.039295,0.196586,0.229242,-0.001186,3426106544102.6357,0.236166,-0.107184,-0.017088,-0.024297,0.832771,0.825047,0.030477,0.0331,0.409711,-0.311715,0.185349,0.171822,-0.039295,0.711044,0.196586,0.229242,0.00901,-0.001186,4862,261,4862,4595,1262,4283,4862,4862,4621,0.02242,-0.044267,20260520
BTC-USD,crypto,USD,0.559611,-0.479496,-0.037593,-0.05545,0.837991,0.931859,-0.142298,-0.154554,0.598353,-0.342435,0.50552,0.523867,0.408827,0.089837,0.446322,0.004874,3.8465907933763476e+18,0.559611,-0.479496,-0.037593,-0.05545,0.837991,0.931859,-0.142298,-0.154554,0.598353,-0.342435,0.50552,0.523867,0.408827,0.91231,0.089837,0.446322,-0.066399,0.004874,4262,112,2934,2853,1262,3035,2934,2934,2858,-0.253035,-0.705425,20260520
COST,us_stock,USD,0.24456,-0.149391,-0.023295,-0.030885,0.779396,0.777149,-0.084485,-0.090283,0.388402,-0.448048,0.28045,0.278913,-0.080345,0.141524,0.267314,-0.000158,2688065572919.3447,0.24456,-0.149391,-0.023295,-0.030885,0.779396,0.777149,-0.084485,-0.090283,0.388402,-0.448048,0.28045,0.278913,-0.080345,0.738269,0.141524,0.267314,-0.076733,-0.000158,4862,261,4862,4595,1262,4283,4862,4862,4621,0.154729,0.566055,20260520
DBC,commodity_etf,USD,0.216883,-0.080337,-0.016194,-0.030196,0.525167,0.610574,0.022039,0.071561,-0.024075,-0.164121,0.110198,0.144708,-0.289235,0.475831,0.512445,-0.003664,73595336412.57709,0.216883,-0.080337,-0.016194,-0.030196,0.525167,0.610574,0.022039,0.071561,-0.024075,-0.164121,0.110198,0.144708,-0.289235,0.770201,0.475831,0.512445,-0.018927,-0.003664,4862,261,4862,4595,1262,4283,4862,4862,4621,0.65987,2.898836,20260520
DIA,etf,USD,0.201289,-0.075102,-0.014381,-0.020947,0.939249,0.944099,0.046471,0.033777,0.932596,-0.336009,0.293443,0.288888,0.545944,0.20559,0.242068,-0.001311,4146582233090.514,0.201289,-0.075102,-0.014381,-0.020947,0.939249,0.944099,0.046471,0.033777,0.932596,-0.336009,0.293443,0.288888,0.545944,0.637808,0.20559,0.242068,-0.002737,-0.001311,4862,261,4862,4595,1262,4283,4862,4862,4621,0.271622,1.612741,20260520
EFA,etf,USD,0.218489,-0.087009,-0.015907,-0.022677,0.936678,0.96541,0.115021,0.095614,0.8559,-0.180661,0.319676,0.31641,0.661744,0.226112,0.293362,-0.001541,3078155657115.0884,0.218489,-0.087009,-0.015907,-0.022677,0.936678,0.96541,0.115021,0.095614,0.8559,-0.180661,0.319676,0.31641,0.661744,0.501625,0.226112,0.293362,0.027075,-0.001541,4862,261,4862,4595,1262,4283,4862,4862,4621,0.3074,1.686193,20260520
ETH-USD,crypto,USD,0.709605,-0.597563,-0.055994,-0.079792,1.252555,1.368258,-0.021168,0.0109,0.566825,-0.239792,0.724375,0.765334,0.390727,0.149246,0.495126,0.00827,5.551135189501936e+16,0.709605,-0.597563,-0.055994,-0.079792,1.252555,1.368258,-0.021168,0.0109,0.566825,-0.239792,0.724375,0.765334,0.390727,0.607084,0.149246,0.495126,-0.020291,0.00827,3113,107,2140,2085,1262,2216,2140,2140,2084,-0.466935,-0.875615,20260520
EWY,etf,USD,0.295257,-0.185818,-0.032346,-0.056938,0.976603,0.991222,0.605687,0.462773,0.672892,0.069312,0.484408,0.46235,0.771065,0.208139,0.224696,-0.003203,4954733307934.889,0.295257,-0.185818,-0.032346,-0.056938,0.976603,0.991222,0.605687,0.462773,0.672892,0.069312,0.484408,0.46235,0.771065,0.13513,0.208139,0.224696,0.263223,-0.003203,4862,261,4862,4595,1262,4283,4862,4862,4621,2.238483,5.48801,20260520
GLD,gold_etf,USD,0.216384,-0.153076,-0.026479,-0.041141,0.264537,0.268143,-0.059866,-0.037696,0.525882,0.004947,0.09033,0.090221,0.425422,0.149802,1.0,-0.000627,6879693699387.566,0.216384,-0.153076,-0.026479,-0.041141,0.264537,0.268143,-0.059866,-0.037696,0.525882,0.004947,0.09033,0.090221,0.425422,0.851358,0.149802,1.0,-0.054601,-0.000627,4862,261,4862,4595,1262,4283,4862,4862,4621,0.51912,1.795043,20260520
GOOGL,us_stock,USD,0.305724,-0.168381,-0.02268,-0.02856,1.02464,0.992943,0.050396,0.007287,0.615423,-0.107407,0.50591,0.526867,0.522313,0.185111,0.230816,-0.003505,13766034287587.713,0.305724,-0.168381,-0.02268,-0.02856,1.02464,0.992943,0.050396,0.007287,0.615423,-0.107407,0.50591,0.526867,0.522313,0.617748,0.185111,0.230816,-0.024219,-0.003505,4862,261,4862,4595,1262,4283,4862,4862,4621,1.528277,5.218418,20260520
