candidate_label,expected_scenario_code,case_count,evaluated_count,improved_count,mixed_count,worsened_count,insufficient_history_count,worsened_rate,avg_cvar_delta,avg_mdd_delta,avg_stress_loss_delta,avg_return_drag,avg_implementation_cost,avg_recurring_rebalance_cost,avg_total_path_cost,avg_net_cvar_delta,avg_net_mdd_delta,avg_net_stress_loss_delta,avg_cost_adjusted_return_drag,cash_beats_count,cash_mixed_count,cash_lags_count,avg_hedge_vs_cash_cvar_delta,avg_hedge_vs_cash_mdd_delta,avg_hedge_vs_cash_stress_loss_delta,metric_worsened_counts,worst_metric,worst_metric_delta,worst_case_name
GLD + SHY,usd_strength_krw_weakness,3,3,3,0,0,0,0.0,0.004894,0.030605,0.003902,0.008756,0.0003,0.0,0.0003,0.004834,0.030605,0.003621,0.008126,0,0,3,-0.001929,-0.012603,-0.017865,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=1; return_drag=1,cash_net_stress_loss,-0.023054,2022 KRW Weakness / USD Strength
IAU,acute_global_stress_liquidity_crunch,9,6,6,0,0,3,0.0,0.010122,0.028364,0.01263,0.0344,0.0003,0.0,0.0003,0.010122,0.028364,0.012319,0.032511,3,0,3,-0.00211,-0.007276,0.017458,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.12258,2023 US Regional Bank / Credit Stress
IAU,china_trade_fragmentation_shock,3,3,3,0,0,0,0.0,0.003631,0.019864,-0.135771,-0.054003,0.0003,0.0,0.0003,0.003631,0.019864,-0.136388,-0.054253,3,0,0,0.000668,0.006428,0.08211,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,net_stress_loss,-0.209959,China Slowdown / Property Stress
IAU,geopolitical_escalation_supply_shock,3,3,3,0,0,0,0.0,0.00241,0.026699,0.012824,0.061503,0.0003,0.0,0.0003,0.00241,0.026699,0.012512,0.059974,3,0,0,-0.001186,0.01158,0.018535,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,-0.00237,2024 Middle East / Shipping Supply Shock
IAU,higher_for_longer_long_rate_shock,3,3,3,0,0,0,0.0,0.003896,0.020172,0.003594,0.004058,0.0003,0.0,0.0003,0.003896,0.020172,0.003319,0.003748,0,0,3,-0.001782,-0.023171,-0.01562,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_MDD,-0.034981,2022 Global Rate Shock
IAU,semiconductor_ai_cycle_shock,3,3,3,0,0,0,0.0,0.00443,0.025389,0.001342,0.003775,0.0003,0.0,0.0003,0.00443,0.025389,0.001018,0.002863,3,0,0,-0.000839,0.004361,0.017907,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,-0.001421,2024 AI Semiconductor Concentration / Pullback Risk
IAU,stagflation_reinflation_energy_shock,3,3,3,0,0,0,0.0,0.004017,0.020692,-0.009302,-0.013104,0.0003,0.0,0.0003,0.004017,0.020692,-0.00959,-0.013509,0,0,3,-0.001501,-0.021315,-0.015609,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cash_net_MDD,-0.032529,Russia-Ukraine / War-Energy Shock
IAU,usd_strength_krw_weakness,3,3,3,0,0,0,0.0,0.003808,0.024265,-0.005027,-0.011123,0.0003,0.0,0.0003,0.003748,0.024265,-0.005304,-0.011732,0,0,3,-0.003016,-0.018942,-0.026793,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cash_net_stress_loss,-0.040604,2022 KRW Weakness / USD Strength
IAU + DBC,acute_global_stress_liquidity_crunch,9,6,6,0,0,3,0.0,0.00849,0.021592,-0.001049,-0.039087,0.0003,0.0,0.0003,0.00849,0.021592,-0.001355,-0.040821,2,0,4,-0.003741,-0.014049,0.003779,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=4; cash_net_MDD=4; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.260748,2023 US Regional Bank / Credit Stress
IAU + DBC,china_trade_fragmentation_shock,3,3,3,0,0,0,0.0,0.003296,0.016271,-0.162314,-0.064829,0.0003,0.0,0.0003,0.003296,0.016271,-0.162921,-0.065076,3,0,0,0.000333,0.002835,0.055566,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,net_stress_loss,-0.262927,China Slowdown / Property Stress
IAU + DBC,geopolitical_escalation_supply_shock,3,3,3,0,0,0,0.0,0.002939,0.025025,0.010124,0.048275,0.0003,0.0,0.0003,0.002939,0.025025,0.009814,0.046766,3,0,0,-0.000657,0.009905,0.015835,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,-0.001279,2024 Middle East / Shipping Supply Shock
IAU + DBC,higher_for_longer_long_rate_shock,3,3,3,0,0,0,0.0,0.004169,0.013468,0.022586,0.02556,0.0003,0.0,0.0003,0.004169,0.013468,0.022304,0.025241,0,0,3,-0.001509,-0.029876,0.003371,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=2; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_MDD,-0.04899,2022 Global Rate Shock
IAU + DBC,semiconductor_ai_cycle_shock,3,3,3,0,0,0,0.0,0.004535,0.019904,-0.007769,-0.021644,0.0003,0.0,0.0003,0.004535,0.019904,-0.008089,-0.022532,2,0,1,-0.000734,-0.001124,0.008797,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=1; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.046353,2024 AI Semiconductor Concentration / Pullback Risk
IAU + DBC,stagflation_reinflation_energy_shock,3,3,3,0,0,0,0.0,0.00432,0.014799,0.005162,0.007313,0.0003,0.0,0.0003,0.00432,0.014799,0.004869,0.006897,0,0,3,-0.001198,-0.027207,-0.001145,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=2; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_MDD,-0.04471,Russia-Ukraine / War-Energy Shock
IAU + DBC,usd_strength_krw_weakness,3,3,3,0,0,0,0.0,0.004214,0.022193,-0.009106,-0.020035,0.0003,0.0,0.0003,0.004154,0.022193,-0.009382,-0.020635,0,0,3,-0.00261,-0.021014,-0.030872,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cash_net_stress_loss,-0.048758,2022 KRW Weakness / USD Strength
IEF,acute_global_stress_liquidity_crunch,9,6,6,0,0,3,0.0,0.014169,0.039876,0.006777,-0.004254,0.0003,0.0,0.0003,0.014169,0.039876,0.006468,-0.00608,6,0,0,0.001937,0.004235,0.011605,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.22001,2023 US Regional Bank / Credit Stress
IEF,china_trade_fragmentation_shock,3,3,3,0,0,0,0.0,0.00327,0.018401,-0.210281,-0.084444,0.0003,0.0,0.0003,0.00327,0.018401,-0.210872,-0.084688,3,0,0,0.000306,0.004965,0.0076,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,net_stress_loss,-0.321877,China Slowdown / Property Stress
IEF,geopolitical_escalation_supply_shock,3,3,3,0,0,0,0.0,0.003428,0.013121,-0.007731,-0.035692,0.0003,0.0,0.0003,0.003428,0.013121,-0.008037,-0.037082,0,0,3,-0.000169,-0.001998,-0.00202,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.055381,2024 Middle East / Shipping Supply Shock
IEF,higher_for_longer_long_rate_shock,3,3,3,0,0,0,0.0,0.004634,0.021711,-0.010223,-0.011528,0.0003,0.0,0.0003,0.004634,0.021711,-0.010493,-0.011832,0,0,3,-0.001044,-0.021633,-0.029438,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cash_net_stress_loss,-0.04456,2022 Global Rate Shock
IEF,semiconductor_ai_cycle_shock,3,3,3,0,0,0,0.0,0.005405,0.029673,-0.006768,-0.018916,0.0003,0.0,0.0003,0.005405,0.029673,-0.007091,-0.019813,3,0,0,0.000136,0.008645,0.009797,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.029668,2024 AI Semiconductor Concentration / Pullback Risk
IEF,stagflation_reinflation_energy_shock,3,3,3,0,0,0,0.0,0.004496,0.027885,-0.023021,-0.032313,0.0003,0.0,0.0003,0.004496,0.027885,-0.023305,-0.032709,0,0,3,-0.001022,-0.014121,-0.029328,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.048973,Russia-Ukraine / War-Energy Shock
IEF,usd_strength_krw_weakness,3,3,3,0,0,0,0.0,0.005317,0.027073,0.00926,0.020819,0.0003,0.0,0.0003,0.005257,0.027073,0.008978,0.020179,0,0,3,-0.001507,-0.016135,-0.012506,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_MDD,-0.024367,2022 KRW Weakness / USD Strength
IEF + DBC,acute_global_stress_liquidity_crunch,9,6,6,0,0,3,0.0,0.011371,0.029367,-0.005146,-0.065002,0.0003,0.0,0.0003,0.011371,0.029367,-0.005451,-0.066696,2,0,4,-0.000861,-0.006274,-0.000318,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=4; cash_net_MDD=4; cash_net_stress_loss=2; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.316073,2023 US Regional Bank / Credit Stress
IEF + DBC,china_trade_fragmentation_shock,3,3,3,0,0,0,0.0,0.003036,0.015205,-0.214477,-0.086186,0.0003,0.0,0.0003,0.003036,0.015205,-0.215067,-0.08643,3,0,0,7.2e-05,0.001769,0.003403,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=1; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,net_stress_loss,-0.330133,China Slowdown / Property Stress
IEF + DBC,geopolitical_escalation_supply_shock,3,3,3,0,0,0,0.0,0.003664,0.01514,-0.004264,-0.019826,0.0003,0.0,0.0003,0.003664,0.01514,-0.004571,-0.021241,1,0,2,6.8e-05,2e-05,0.001447,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=0; cash_net_MDD=2; cash_net_stress_loss=2; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.026576,2024 Middle East / Shipping Supply Shock
IEF + DBC,higher_for_longer_long_rate_shock,3,3,3,0,0,0,0.0,0.004808,0.018796,0.012914,0.014606,0.0003,0.0,0.0003,0.004808,0.018796,0.012636,0.014291,0,0,3,-0.00087,-0.024548,-0.006301,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=2; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_MDD,-0.041903,2022 Global Rate Shock
IEF + DBC,semiconductor_ai_cycle_shock,3,3,3,0,0,0,0.0,0.005249,0.02287,-0.013445,-0.037328,0.0003,0.0,0.0003,0.005249,0.02287,-0.013765,-0.038205,2,0,1,-2e-05,0.001843,0.00312,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.066287,2024 AI Semiconductor Concentration / Pullback Risk
IEF + DBC,stagflation_reinflation_energy_shock,3,3,3,0,0,0,0.0,0.004698,0.019839,-0.004441,-0.006256,0.0003,0.0,0.0003,0.004698,0.019839,-0.004732,-0.006666,0,0,3,-0.00082,-0.022167,-0.010748,net_CVaR=0; net_MDD=0; net_stress_loss=2; cost_adjusted_return_drag=2; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=2; return_drag=2,cash_net_MDD,-0.037717,Russia-Ukraine / War-Energy Shock
IEF + DBC,usd_strength_krw_weakness,3,3,3,0,0,0,0.0,0.005441,0.025461,0.000894,0.002008,0.0003,0.0,0.0003,0.005381,0.025461,0.000616,0.001388,0,0,3,-0.001383,-0.017747,-0.020872,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=1; return_drag=1,cash_net_stress_loss,-0.035906,2022 KRW Weakness / USD Strength
IEF + GLD,acute_global_stress_liquidity_crunch,9,6,6,0,0,3,0.0,0.012314,0.033992,0.009807,0.015774,0.0003,0.0,0.0003,0.012314,0.033992,0.009497,0.013918,3,0,3,8.3e-05,-0.001649,0.014635,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.183055,2023 US Regional Bank / Credit Stress
