candidate_label,expected_scenario_code,case_count,evaluated_count,improved_count,mixed_count,worsened_count,insufficient_history_count,worsened_rate,avg_cvar_delta,avg_mdd_delta,avg_stress_loss_delta,avg_return_drag,avg_implementation_cost,avg_recurring_rebalance_cost,avg_total_path_cost,avg_net_cvar_delta,avg_net_mdd_delta,avg_net_stress_loss_delta,avg_cost_adjusted_return_drag,cash_beats_count,cash_mixed_count,cash_lags_count,avg_hedge_vs_cash_cvar_delta,avg_hedge_vs_cash_mdd_delta,avg_hedge_vs_cash_stress_loss_delta,metric_worsened_counts,worst_metric,worst_metric_delta,worst_case_name
IEF + GLD,china_trade_fragmentation_shock,3,3,3,0,0,0,0.0,0.003516,0.019207,-0.169663,-0.067843,0.0003,0.0,0.0003,0.003516,0.019207,-0.170268,-0.06809,3,0,0,0.000552,0.005771,0.048217,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,net_stress_loss,-0.277524,China Slowdown / Property Stress
IEF + GLD,geopolitical_escalation_supply_shock,3,3,3,0,0,0,0.0,0.003257,0.024314,0.0034,0.016053,0.0003,0.0,0.0003,0.003257,0.024314,0.003091,0.014595,3,0,0,-0.000339,0.009194,0.009111,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,-0.00051,2024 Middle East / Shipping Supply Shock
IEF + GLD,higher_for_longer_long_rate_shock,3,3,3,0,0,0,0.0,0.004263,0.023601,-0.002913,-0.003287,0.0003,0.0,0.0003,0.004263,0.023601,-0.003186,-0.003594,0,0,3,-0.001415,-0.019743,-0.022128,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cash_net_stress_loss,-0.036589,2022 Global Rate Shock
IEF + GLD,semiconductor_ai_cycle_shock,3,3,3,0,0,0,0.0,0.004948,0.027278,-0.002526,-0.007078,0.0003,0.0,0.0003,0.004948,0.027278,-0.002849,-0.007982,3,0,0,-0.000321,0.006251,0.014039,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.016816,2024 AI Semiconductor Concentration / Pullback Risk
IEF + GLD,stagflation_reinflation_energy_shock,3,3,3,0,0,0,0.0,0.004243,0.023947,-0.015663,-0.02202,0.0003,0.0,0.0003,0.004243,0.023947,-0.015949,-0.02242,0,0,3,-0.001275,-0.018059,-0.02197,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.0378,Russia-Ukraine / War-Energy Shock
IEF + GLD,usd_strength_krw_weakness,3,3,3,0,0,0,0.0,0.004581,0.026407,0.001296,0.002904,0.0003,0.0,0.0003,0.004521,0.026407,0.001017,0.00228,0,0,3,-0.002243,-0.0168,-0.02047,net_CVaR=0; net_MDD=0; net_stress_loss=2; cost_adjusted_return_drag=2; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=2; return_drag=2,cash_net_stress_loss,-0.027867,2022 KRW Weakness / USD Strength
IEF + IAU,acute_global_stress_liquidity_crunch,9,6,6,0,0,3,0.0,0.012282,0.034065,0.009996,0.016891,0.0003,0.0,0.0003,0.012282,0.034065,0.009686,0.015033,3,0,3,5e-05,-0.001576,0.014824,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.181556,2023 US Regional Bank / Credit Stress
IEF + IAU,china_trade_fragmentation_shock,3,3,3,0,0,0,0.0,0.003522,0.019239,-0.169336,-0.06771,0.0003,0.0,0.0003,0.003522,0.019239,-0.16994,-0.067957,3,0,0,0.000559,0.005803,0.048545,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,net_stress_loss,-0.27717,China Slowdown / Property Stress
IEF + IAU,geopolitical_escalation_supply_shock,3,3,3,0,0,0,0.0,0.00329,0.02431,0.003574,0.016877,0.0003,0.0,0.0003,0.00329,0.02431,0.003265,0.015418,3,0,0,-0.000306,0.00919,0.009285,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,-0.000469,2024 Middle East / Shipping Supply Shock
IEF + IAU,higher_for_longer_long_rate_shock,3,3,3,0,0,0,0.0,0.004271,0.023618,-0.002624,-0.00296,0.0003,0.0,0.0003,0.004271,0.023618,-0.002896,-0.003267,0,0,3,-0.001407,-0.019726,-0.021838,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cash_net_stress_loss,-0.036273,2022 Global Rate Shock
IEF + IAU,semiconductor_ai_cycle_shock,3,3,3,0,0,0,0.0,0.004956,0.027322,-0.002308,-0.006466,0.0003,0.0,0.0003,0.004956,0.027322,-0.002631,-0.00737,3,0,0,-0.000313,0.006295,0.014258,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.016152,2024 AI Semiconductor Concentration / Pullback Risk
IEF + IAU,stagflation_reinflation_energy_shock,3,3,3,0,0,0,0.0,0.004242,0.023922,-0.015476,-0.021757,0.0003,0.0,0.0003,0.004242,0.023922,-0.015762,-0.022158,0,0,3,-0.001276,-0.018084,-0.021783,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.037515,Russia-Ukraine / War-Energy Shock
IEF + IAU,usd_strength_krw_weakness,3,3,3,0,0,0,0.0,0.004572,0.026347,0.001402,0.003141,0.0003,0.0,0.0003,0.004512,0.026347,0.001123,0.002516,0,0,3,-0.002251,-0.016861,-0.020364,net_CVaR=0; net_MDD=0; net_stress_loss=2; cost_adjusted_return_drag=2; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=2; return_drag=2,cash_net_stress_loss,-0.027751,2022 KRW Weakness / USD Strength
SHY,acute_global_stress_liquidity_crunch,9,6,6,0,0,3,0.0,0.012695,0.03804,-0.000498,-0.04351,0.0003,0.0,0.0003,0.012695,0.03804,-0.000805,-0.045263,6,0,0,0.000463,0.002399,0.00433,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.276535,2023 US Regional Bank / Credit Stress
SHY,china_trade_fragmentation_shock,3,3,3,0,0,0,0.0,0.003225,0.016004,-0.202552,-0.081261,0.0003,0.0,0.0003,0.003225,0.016004,-0.203146,-0.081505,3,0,0,0.000261,0.002567,0.015328,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,net_stress_loss,-0.310703,China Slowdown / Property Stress
SHY,geopolitical_escalation_supply_shock,3,3,3,0,0,0,0.0,0.00353,0.015294,-0.004798,-0.022272,0.0003,0.0,0.0003,0.00353,0.015294,-0.005105,-0.023681,3,0,0,-6.7e-05,0.000174,0.000913,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.035423,2024 Middle East / Shipping Supply Shock
SHY,higher_for_longer_long_rate_shock,3,3,3,0,0,0,0.0,0.005368,0.038342,0.009781,0.01105,0.0003,0.0,0.0003,0.005368,0.038342,0.009504,0.010738,0,0,3,-0.00031,-0.005002,-0.009434,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_stress_loss,-0.014566,2022 Global Rate Shock
SHY,semiconductor_ai_cycle_shock,3,3,3,0,0,0,0.0,0.005391,0.024383,-0.010181,-0.028378,0.0003,0.0,0.0003,0.005391,0.024383,-0.010502,-0.029265,3,0,0,0.000122,0.003356,0.006384,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.043786,2024 AI Semiconductor Concentration / Pullback Risk
SHY,stagflation_reinflation_energy_shock,3,3,3,0,0,0,0.0,0.005264,0.037673,-0.001911,-0.002697,0.0003,0.0,0.0003,0.005264,0.037673,-0.002202,-0.003108,0,0,3,-0.000254,-0.004334,-0.008218,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cash_net_stress_loss,-0.012763,Russia-Ukraine / War-Energy Shock
SHY,usd_strength_krw_weakness,3,3,3,0,0,0,0.0,0.006456,0.03993,0.018574,0.042195,0.0003,0.0,0.0003,0.006396,0.03993,0.01829,0.041536,0,0,3,-0.000368,-0.003277,-0.003192,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_stress_loss,-0.005216,2022 KRW Weakness / USD Strength
SHY + DBC,acute_global_stress_liquidity_crunch,9,6,6,0,0,3,0.0,0.010279,0.027764,-0.010239,-0.090685,0.0003,0.0,0.0003,0.010279,0.027764,-0.010542,-0.092334,0,0,6,-0.001953,-0.007877,-0.00541,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=6; cash_net_MDD=6; cash_net_stress_loss=4; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.348623,2023 US Regional Bank / Credit Stress
SHY + DBC,china_trade_fragmentation_shock,3,3,3,0,0,0,0.0,0.002986,0.013378,-0.209037,-0.083947,0.0003,0.0,0.0003,0.002986,0.013378,-0.209627,-0.084191,2,0,1,2.3e-05,-5.8e-05,0.008844,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=1; cash_net_MDD=1; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,net_stress_loss,-0.323418,China Slowdown / Property Stress
SHY + DBC,geopolitical_escalation_supply_shock,3,3,3,0,0,0,0.0,0.003665,0.016556,-0.002211,-0.010315,0.0003,0.0,0.0003,0.003665,0.016556,-0.002519,-0.011744,3,0,0,6.8e-05,0.001436,0.0035,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.015748,2024 Middle East / Shipping Supply Shock
SHY + DBC,higher_for_longer_long_rate_shock,3,3,3,0,0,0,0.0,0.005218,0.025608,0.026917,0.030471,0.0003,0.0,0.0003,0.005218,0.025608,0.026634,0.03015,0,0,3,-0.00046,-0.017735,0.007702,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_MDD,-0.033718,2022 Global Rate Shock
SHY + DBC,semiconductor_ai_cycle_shock,3,3,3,0,0,0,0.0,0.005236,0.019181,-0.015835,-0.043888,0.0003,0.0,0.0003,0.005236,0.019181,-0.016153,-0.044759,2,0,1,-3.3e-05,-0.001846,0.000731,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=1; cash_net_MDD=3; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.074612,2024 AI Semiconductor Concentration / Pullback Risk
SHY + DBC,stagflation_reinflation_energy_shock,3,3,3,0,0,0,0.0,0.005247,0.026441,0.010336,0.01465,0.0003,0.0,0.0003,0.005247,0.026441,0.010041,0.01423,0,0,3,-0.000271,-0.015565,0.004029,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=2; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_MDD,-0.029559,Russia-Ukraine / War-Energy Shock
SHY + DBC,usd_strength_krw_weakness,3,3,3,0,0,0,0.0,0.006182,0.033708,0.007414,0.016631,0.0003,0.0,0.0003,0.006122,0.033708,0.007134,0.015999,0,0,3,-0.000642,-0.0095,-0.014352,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_stress_loss,-0.027526,2022 KRW Weakness / USD Strength
SHY + IAU,acute_global_stress_liquidity_crunch,9,6,6,0,0,3,0.0,0.011173,0.032525,0.007598,0.003903,0.0003,0.0,0.0003,0.011173,0.032525,0.007288,0.002073,3,0,3,-0.001059,-0.003116,0.012426,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.200929,2023 US Regional Bank / Credit Stress
SHY + IAU,china_trade_fragmentation_shock,3,3,3,0,0,0,0.0,0.003528,0.018527,-0.161511,-0.064502,0.0003,0.0,0.0003,0.003528,0.018527,-0.162118,-0.064749,3,0,0,0.000565,0.005091,0.056369,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,net_stress_loss,-0.260632,China Slowdown / Property Stress
SHY + IAU,geopolitical_escalation_supply_shock,3,3,3,0,0,0,0.0,0.0032,0.025099,0.006069,0.028707,0.0003,0.0,0.0003,0.0032,0.025099,0.005759,0.02723,3,0,0,-0.000397,0.009979,0.01178,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,-0.000716,2024 Middle East / Shipping Supply Shock
SHY + IAU,higher_for_longer_long_rate_shock,3,3,3,0,0,0,0.0,0.004515,0.027087,0.005966,0.006738,0.0003,0.0,0.0003,0.004515,0.027087,0.00569,0.006427,0,0,3,-0.001163,-0.016257,-0.013249,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_MDD,-0.021368,2022 Global Rate Shock
SHY + IAU,semiconductor_ai_cycle_shock,3,3,3,0,0,0,0.0,0.004878,0.025007,-0.003075,-0.008611,0.0003,0.0,0.0003,0.004878,0.025007,-0.003398,-0.009513,3,0,0,-0.000391,0.00398,0.01349,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.01989,2024 AI Semiconductor Concentration / Pullback Risk
SHY + IAU,stagflation_reinflation_energy_shock,3,3,3,0,0,0,0.0,0.004567,0.027209,-0.006469,-0.009121,0.0003,0.0,0.0003,0.004567,0.027209,-0.006758,-0.009528,0,0,3,-0.000951,-0.014797,-0.012776,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cash_net_MDD,-0.019659,Russia-Ukraine / War-Energy Shock
SHY + IAU,usd_strength_krw_weakness,3,3,3,0,0,0,0.0,0.004892,0.030536,0.00402,0.009022,0.0003,0.0,0.0003,0.004832,0.030536,0.00374,0.008392,0,0,3,-0.001932,-0.012671,-0.017746,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=1; return_drag=1,cash_net_stress_loss,-0.02291,2022 KRW Weakness / USD Strength
TLT,acute_global_stress_liquidity_crunch,9,6,6,0,0,3,0.0,0.014221,0.03856,0.012847,0.024596,0.0003,0.0,0.0003,0.014221,0.03856,0.012536,0.022708,6,0,0,0.00199,0.00292,0.017675,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.221553,2023 US Regional Bank / Credit Stress
TLT,china_trade_fragmentation_shock,3,3,3,0,0,0,0.0,0.003149,0.019093,-0.225751,-0.090836,0.0003,0.0,0.0003,0.003149,0.019093,-0.226338,-0.091079,3,0,0,0.000186,0.005656,-0.00787,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,net_stress_loss,-0.344058,China Slowdown / Property Stress
TLT,geopolitical_escalation_supply_shock,3,3,3,0,0,0,0.0,0.003618,0.010482,-0.013445,-0.061416,0.0003,0.0,0.0003,0.003618,0.010482,-0.013749,-0.062769,0,0,3,2.2e-05,-0.004638,-0.007734,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=1; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.093457,2024 Middle East / Shipping Supply Shock
TLT,higher_for_longer_long_rate_shock,3,3,3,0,0,0,0.0,0.003973,0.005455,-0.037043,-0.041664,0.0003,0.0,0.0003,0.003973,0.005455,-0.037304,-0.041957,0,0,3,-0.001705,-0.037889,-0.056257,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cash_net_stress_loss,-0.084772,2022 Global Rate Shock
TLT,semiconductor_ai_cycle_shock,3,3,3,0,0,0,0.0,0.005358,0.034959,-0.007749,-0.021642,0.0003,0.0,0.0003,0.005358,0.034959,-0.008072,-0.022538,3,0,0,8.9e-05,0.013932,0.008816,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.033742,2024 AI Semiconductor Concentration / Pullback Risk
TLT,stagflation_reinflation_energy_shock,3,3,3,0,0,0,0.0,0.00376,0.017746,-0.050365,-0.070179,0.0003,0.0,0.0003,0.00376,0.017746,-0.05064,-0.070556,0,0,3,-0.001758,-0.02426,-0.056672,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.105411,Russia-Ukraine / War-Energy Shock
TLT,usd_strength_krw_weakness,3,3,3,0,0,0,0.0,0.004445,0.018831,-0.00671,-0.014819,0.0003,0.0,0.0003,0.004385,0.018831,-0.006987,-0.015426,0,0,3,-0.002378,-0.024376,-0.028476,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cash_net_stress_loss,-0.043128,2022 KRW Weakness / USD Strength
TLT + DBC,acute_global_stress_liquidity_crunch,9,6,6,0,0,3,0.0,0.011693,0.02873,-0.000897,-0.047502,0.0003,0.0,0.0003,0.011693,0.02873,-0.001203,-0.049231,2,0,4,-0.000538,-0.006911,0.003931,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=5; cash_net_stress_loss=2; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.316957,2023 US Regional Bank / Credit Stress
TLT + DBC,china_trade_fragmentation_shock,3,3,3,0,0,0,0.0,0.002968,0.015924,-0.225389,-0.090686,0.0003,0.0,0.0003,0.002968,0.015924,-0.225975,-0.090929,2,0,1,5e-06,0.002488,-0.007508,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=1; cash_net_MDD=0; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,net_stress_loss,-0.343485,China Slowdown / Property Stress
TLT + DBC,geopolitical_escalation_supply_shock,3,3,3,0,0,0,0.0,0.00374,0.013564,-0.008264,-0.038157,0.0003,0.0,0.0003,0.00374,0.013564,-0.00857,-0.039547,0,0,3,0.000143,-0.001555,-0.002553,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=0; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.047437,2024 Middle East / Shipping Supply Shock
TLT + DBC,higher_for_longer_long_rate_shock,3,3,3,0,0,0,0.0,0.0044,0.014531,-0.00586,-0.006603,0.0003,0.0,0.0003,0.0044,0.014531,-0.006132,-0.00691,0,0,3,-0.001278,-0.028813,-0.025074,net_CVaR=0; net_MDD=0; net_stress_loss=2; cost_adjusted_return_drag=2; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=2; return_drag=2,cash_net_MDD,-0.046949,2022 Global Rate Shock
TLT + DBC,semiconductor_ai_cycle_shock,3,3,3,0,0,0,0.0,0.005189,0.02656,-0.014132,-0.039216,0.0003,0.0,0.0003,0.005189,0.02656,-0.014452,-0.040093,2,0,1,-8e-05,0.005533,0.002433,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=2; cash_net_MDD=0; cash_net_stress_loss=1; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.068687,2024 AI Semiconductor Concentration / Pullback Risk
TLT + DBC,stagflation_reinflation_energy_shock,3,3,3,0,0,0,0.0,0.004227,0.015547,-0.023582,-0.033111,0.0003,0.0,0.0003,0.004227,0.015547,-0.023866,-0.033508,0,0,3,-0.001291,-0.026459,-0.029889,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.045966,Russia-Ukraine / War-Energy Shock
TLT + DBC,usd_strength_krw_weakness,3,3,3,0,0,0,0.0,0.004849,0.02152,-0.010284,-0.022601,0.0003,0.0,0.0003,0.004789,0.02152,-0.01056,-0.023199,0,0,3,-0.001975,-0.021687,-0.032051,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cash_net_stress_loss,-0.050273,2022 KRW Weakness / USD Strength
TLT + GLD,acute_global_stress_liquidity_crunch,9,6,6,0,0,3,0.0,0.01242,0.033614,0.012538,0.028899,0.0003,0.0,0.0003,0.01242,0.033614,0.012227,0.027012,3,0,3,0.000188,-0.002027,0.017367,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.183996,2023 US Regional Bank / Credit Stress
TLT + GLD,china_trade_fragmentation_shock,3,3,3,0,0,0,0.0,0.003455,0.019535,-0.176271,-0.070557,0.0003,0.0,0.0003,0.003455,0.019535,-0.176873,-0.070803,3,0,0,0.000492,0.006099,0.04161,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,net_stress_loss,-0.290072,China Slowdown / Property Stress
TLT + GLD,geopolitical_escalation_supply_shock,3,3,3,0,0,0,0.0,0.003206,0.023766,0.000829,0.004003,0.0003,0.0,0.0003,0.003206,0.023766,0.000521,0.002564,3,0,0,-0.000391,0.008647,0.00654,net_CVaR=0; net_MDD=0; net_stress_loss=1; cost_adjusted_return_drag=1; cash_net_CVaR=3; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=1; return_drag=1,cost_adjusted_return_drag,-0.023489,2024 Middle East / Shipping Supply Shock
TLT + GLD,higher_for_longer_long_rate_shock,3,3,3,0,0,0,0.0,0.004074,0.017651,-0.014982,-0.016878,0.0003,0.0,0.0003,0.004074,0.017651,-0.01525,-0.017179,0,0,3,-0.001604,-0.025693,-0.034197,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cash_net_stress_loss,-0.060716,2022 Global Rate Shock
