candidate_source,candidate_name,recommendation_status,backtest_gate_status,formal_gate_blockers,formal_gate_blocker_count,target_evaluated_count,target_improved_count,target_worsened_count,target_insufficient_history_count,target_lags_cash_count,target_bootstrap_robust_count,target_bootstrap_count,target_bootstrap_min_p_improve,target_bootstrap_avg_p_improve,target_avg_cash_net_stress_delta,target_min_cash_net_stress_delta,target_avg_cash_net_mdd_delta,target_min_cash_net_mdd_delta,target_avg_cash_net_cvar_delta,target_min_cash_net_cvar_delta,target_max_turnover,combo_min_adv_60,liquidity_order_notional_krw,liquidity_adv_usage_pct,liquidity_capacity_status,formal_readiness_score,backtest_reason,reference_reason,gate_fail_reasons
one_to_one,XLP,FAIL_GATE,VALIDATION_INSUFFICIENT,fail_gate|validation_insufficient,2,0,0,0,0,0,0,0,,,,,,,,,,1919142658012.324,,,OK_ADV_FLOOR_NO_ORDER_SIZE,30.0,target-scenario historical validation has insufficient history; 검증 부족,,연환산 수익률 훼손 하드 게이트
one_to_one,XLV,FAIL_GATE,VALIDATION_INSUFFICIENT,fail_gate|validation_insufficient,2,0,0,0,0,0,0,0,,,,,,,,,,2648432768783.628,,,OK_ADV_FLOOR_NO_ORDER_SIZE,30.0,target-scenario historical validation has insufficient history; 검증 부족,,연환산 수익률 훼손 하드 게이트
one_to_one,XLU,FAIL_GATE,VALIDATION_INSUFFICIENT,fail_gate|validation_insufficient|return_drag_reference,3,0,0,0,0,0,0,0,,,,,,,,,,1650141913885.7173,,,OK_ADV_FLOOR_NO_ORDER_SIZE,30.0,target-scenario historical validation has insufficient history; 검증 부족,annual return drag soft warning,Stress 개선 미달
one_to_one,IAU,FAIL_GATE,VALIDATION_THIN,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal,5,1,1,0,0,1,0,1,0.475,0.475,-0.023845,-0.023845,-0.032529,-0.032529,-0.002449,-0.002449,0.3,,,,MISSING_ADV,29.5,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,FAIL: 단일 자산 최대 20.0% 초과 - IAU=30.0000%
one_to_one,GLD,FAIL_GATE,VALIDATION_THIN,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal,5,1,1,0,0,1,0,1,0.41,0.41,-0.024356,-0.024356,-0.03246,-0.03246,-0.002444,-0.002444,0.3,,,,MISSING_ADV,28.2,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,FAIL: 단일 자산 최대 20.0% 초과 - GLD=30.0000%
one_to_one,IEF,FAIL_GATE,VALIDATION_THIN,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal,5,1,1,0,0,1,0,1,0.37,0.37,-0.04456,-0.04456,-0.035911,-0.035911,-0.001718,-0.001718,0.3,,,,MISSING_ADV,27.4,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,FAIL: 단일 자산 최대 20.0% 초과 - IEF=30.0000%
one_to_one,TLT,FAIL_GATE,VALIDATION_THIN,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal,5,1,1,0,0,1,0,1,0.185,0.185,-0.084772,-0.084772,-0.060828,-0.060828,-0.002778,-0.002778,0.3,,,,MISSING_ADV,23.7,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,FAIL: 단일 자산 최대 20.0% 초과 - TLT=30.0000%
one_to_one,XLP,FAIL_GATE,VALIDATION_INSUFFICIENT,fail_gate|validation_insufficient|liquidity_below_formal,3,0,0,0,0,0,0,0,,,,,,,,,,,,,MISSING_ADV,10.0,target-scenario historical validation has insufficient history; 검증 부족,,FAIL: 단일 자산 최대 20.0% 초과 - XLP=30.0000%
one_to_one,XLU,FAIL_GATE,VALIDATION_INSUFFICIENT,fail_gate|validation_insufficient|liquidity_below_formal,3,0,0,0,0,0,0,0,,,,,,,,,,,,,MISSING_ADV,10.0,target-scenario historical validation has insufficient history; 검증 부족,,FAIL: 단일 자산 최대 20.0% 초과 - XLU=30.0000%
one_to_one,XLV,FAIL_GATE,VALIDATION_INSUFFICIENT,fail_gate|validation_insufficient|liquidity_below_formal,3,0,0,0,0,0,0,0,,,,,,,,,,,,,MISSING_ADV,10.0,target-scenario historical validation has insufficient history; 검증 부족,,FAIL: 단일 자산 최대 20.0% 초과 - XLV=30.0000%
