candidate_source,candidate_name,recommendation_status,backtest_gate_status,formal_gate_blockers,formal_gate_blocker_count,target_evaluated_count,target_improved_count,target_worsened_count,target_insufficient_history_count,target_lags_cash_count,target_bootstrap_robust_count,target_bootstrap_count,target_bootstrap_min_p_improve,target_bootstrap_avg_p_improve,target_avg_cash_net_stress_delta,target_min_cash_net_stress_delta,target_avg_cash_net_mdd_delta,target_min_cash_net_mdd_delta,target_avg_cash_net_cvar_delta,target_min_cash_net_cvar_delta,target_max_turnover,combo_min_adv_60,liquidity_order_notional_krw,liquidity_adv_usage_pct,liquidity_capacity_status,formal_readiness_score,backtest_reason,reference_reason,gate_fail_reasons
one_to_one,GLD,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,5,1,1,0,0,1,0,1,0.47,0.47,-0.016239,-0.016239,-0.021138,-0.021138,-0.001381,-0.001381,0.2,6879693699387.566,,,OK_ADV_FLOOR_NO_ORDER_SIZE,59.4,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning,
multi,GLD + SHY,FAIL_GATE,REFERENCE_ONLY_CASH_BASELINE,fail_gate|cash_baseline_lag|bootstrap_not_robust,3,2,2,0,0,2,0,2,0.46,0.495,-0.019079,-0.0196,-0.02048,-0.021338,-0.001412,-0.001555,0.3,598507121135.5558,,,OK_ADV_FLOOR_NO_ORDER_SIZE,59.2,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,연환산 수익률 훼손 하드 게이트
multi,SHY + IAU,FAIL_GATE,REFERENCE_ONLY_CASH_BASELINE,fail_gate|cash_baseline_lag|bootstrap_not_robust,3,2,2,0,0,2,0,2,0.45,0.505,-0.018754,-0.019205,-0.020514,-0.021368,-0.001415,-0.00156,0.3,598507121135.5558,,,OK_ADV_FLOOR_NO_ORDER_SIZE,59.0,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,연환산 수익률 훼손 하드 게이트
one_to_one,XLE,FAIL_GATE,VALIDATION_THIN,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust|return_drag_reference,5,1,1,0,0,1,0,1,0.95,0.95,0.08486,0.08486,-0.043499,-0.043499,-0.005413,-0.005413,0.2,4514352933179.832,,,OK_ADV_FLOOR_NO_ORDER_SIZE,59.0,target-scenario backtest has only 1 evaluated stress case; 표본 부족,Sharpe soft warning; annual return drag soft warning,MDD 개선 미달; Stress 개선 미달; beta/corr 감소 미달; downside beta 증가 하드 게이트
one_to_one,XLE,FAIL_GATE,VALIDATION_THIN,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust|return_drag_reference,5,1,1,0,0,1,0,1,0.945,0.945,0.042437,0.042437,-0.020652,-0.020652,-0.001818,-0.001818,0.100001,4514352933179.832,,,OK_ADV_FLOOR_NO_ORDER_SIZE,58.9,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning,MDD 개선 미달; Stress 개선 미달; beta/corr 감소 미달
one_to_one,IAU,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|cash_baseline_lag|bootstrap_not_robust|reference_only,4,1,1,0,0,1,0,1,0.435,0.435,-0.00795,-0.00795,-0.010232,-0.010232,-0.000669,-0.000669,0.100001,1268387351300.059,,,OK_ADV_FLOOR_NO_ORDER_SIZE,58.7,target-scenario backtest has only 1 evaluated stress case; 표본 부족,target-scenario backtest has only 1 evaluated stress case; 표본 부족,
one_to_one,GLD,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|cash_baseline_lag|bootstrap_not_robust|reference_only,4,1,1,0,0,1,0,1,0.42,0.42,-0.00812,-0.00812,-0.010211,-0.010211,-0.000672,-0.000672,0.100001,6879693699387.566,,,OK_ADV_FLOOR_NO_ORDER_SIZE,58.4,target-scenario backtest has only 1 evaluated stress case; 표본 부족,target-scenario backtest has only 1 evaluated stress case; 표본 부족,
one_to_one,IAU,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,5,1,1,0,0,1,0,1,0.355,0.355,-0.015898,-0.015898,-0.021182,-0.021182,-0.001384,-0.001384,0.2,1268387351300.059,,,OK_ADV_FLOOR_NO_ORDER_SIZE,57.1,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning,
one_to_one,IEF,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,5,1,1,0,0,1,0,1,0.355,0.355,-0.014855,-0.014855,-0.007731,-0.007731,-0.000423,-0.000423,0.100001,1378840058167.9148,,,OK_ADV_FLOOR_NO_ORDER_SIZE,57.1,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning,
one_to_one,DBC,FAIL_GATE,VALIDATION_THIN,fail_gate|validation_thin|bootstrap_not_robust|liquidity_below_formal|return_drag_reference,5,1,1,0,0,0,0,1,0.83,0.83,0.016154,0.016154,-0.018958,-0.018958,9.6e-05,9.6e-05,0.100001,73595336412.57709,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,56.6,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning,Stress 개선 미달
multi,IEF + GLD,FAIL_GATE,REFERENCE_ONLY_CASH_BASELINE,fail_gate|cash_baseline_lag|bootstrap_not_robust,3,2,2,0,0,2,0,2,0.305,0.335,-0.03649,-0.036589,-0.027005,-0.028117,-0.002008,-0.002053,0.3,1378840058167.9148,,,OK_ADV_FLOOR_NO_ORDER_SIZE,56.1,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,연환산 수익률 훼손 하드 게이트
one_to_one,USO,FAIL_GATE,VALIDATION_THIN,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust|return_drag_reference,5,1,1,0,0,1,0,1,0.775,0.775,0.024511,0.024511,-0.028754,-0.028754,-0.000558,-0.000558,0.100001,6164918368774.204,,,OK_ADV_FLOOR_NO_ORDER_SIZE,55.5,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning,MDD 개선 미달; Stress 개선 미달
multi,IEF + IAU,FAIL_GATE,REFERENCE_ONLY_CASH_BASELINE,fail_gate|cash_baseline_lag|bootstrap_not_robust,3,2,2,0,0,2,0,2,0.26,0.3425,-0.03623,-0.036273,-0.026976,-0.028031,-0.002005,-0.002045,0.3,1268387351300.059,,,OK_ADV_FLOOR_NO_ORDER_SIZE,55.2,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,연환산 수익률 훼손 하드 게이트
one_to_one,USO,FAIL_GATE,VALIDATION_THIN,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust|return_drag_reference,5,1,1,0,0,1,0,1,0.76,0.76,0.049014,0.049014,-0.063513,-0.063513,-0.003687,-0.003687,0.2,6164918368774.204,,,OK_ADV_FLOOR_NO_ORDER_SIZE,55.2,target-scenario backtest has only 1 evaluated stress case; 표본 부족,Sharpe soft warning; annual return drag soft warning,MDD 개선 미달; Stress 개선 미달; downside beta 증가 하드 게이트
multi,TLT + IAU,FAIL_GATE,REFERENCE_ONLY_CASH_BASELINE,fail_gate|cash_baseline_lag|bootstrap_not_robust,3,2,2,0,0,2,0,2,0.175,0.2725,-0.060593,-0.060785,-0.038886,-0.04298,-0.002518,-0.002539,0.3,1268387351300.059,,,OK_ADV_FLOOR_NO_ORDER_SIZE,53.5,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,연환산 수익률 훼손 하드 게이트
multi,TLT + GLD,FAIL_GATE,REFERENCE_ONLY_CASH_BASELINE,fail_gate|cash_baseline_lag|bootstrap_not_robust,3,2,2,0,0,2,0,2,0.165,0.255,-0.060853,-0.06099,-0.039006,-0.043066,-0.002517,-0.002537,0.3,4175625624321.1646,,,OK_ADV_FLOOR_NO_ORDER_SIZE,53.3,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,연환산 수익률 훼손 하드 게이트
one_to_one,TLT,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,5,1,1,0,0,1,0,1,0.165,0.165,-0.028263,-0.028263,-0.015025,-0.015025,-0.000689,-0.000689,0.100001,4175625624321.1646,,,OK_ADV_FLOOR_NO_ORDER_SIZE,53.3,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning,
one_to_one,SHY,FAIL_GATE,VALIDATION_THIN,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust,4,1,1,0,0,1,0,1,0.595,0.595,-0.00971,-0.00971,-0.005025,-0.005025,-0.000303,-0.000303,0.2,598507121135.5558,,,OK_ADV_FLOOR_NO_ORDER_SIZE,51.9,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,연환산 수익률 훼손 하드 게이트; active adverse scenario 민감도 증가
multi,SHY + DBC,REFERENCE_ONLY,REFERENCE_ONLY_CASH_BASELINE,cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal|return_drag_reference|reference_only,5,2,2,0,0,2,0,2,0.575,0.65,0.000342,-0.000173,-0.005974,-0.006397,-5.7e-05,-8.2e-05,0.100001,73595336412.57709,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,51.5,target-scenario hedge did not beat cash-only de-risking in 2 stress case,annual return drag soft warning,
one_to_one,SHY,FAIL_GATE,VALIDATION_THIN,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust|return_drag_reference,5,1,1,0,0,1,0,1,0.565,0.565,-0.004854,-0.004854,-0.002546,-0.002546,-0.000158,-0.000158,0.100001,598507121135.5558,,,OK_ADV_FLOOR_NO_ORDER_SIZE,51.3,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning,active adverse scenario 민감도 증가
