scenario,vol_annual,mdd,cvar_95,annual_return_krw,sharpe_krw_proxy,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,sharpe_improve_pct,stress_improve,no_recommendation_reason
기존 포트폴리오,0.21748,-0.293939,-0.029725,0.381285,1.615249,0.0,0.0,0.0,0.0,0.0,
제안(1:1) - GLD,0.198145,-0.265593,-0.026909,0.362551,1.678326,8.890839,9.643794,9.470906,3.905072,0.000171,
