as_of_date,date,scenario_code,scenario_name,scenario_name_ko,lens,related_lenses,score,raw_state,display_state,confidence,coverage,top_positive_drivers,top_negative_drivers,market_interpretation_ko,engine_version
2026-04-14,2026-04-14,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,63.775241,ACTIVE,ACTIVE,49.156773,0.869565,"SPY 20d return (+0.1032, z=+0.69) | QQQ 20d return (+0.0762, z=+0.61) | UUP 20d return (+0.0676, z=-0.90)",,성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.,phase4_scenario_vector_v1
2026-04-14,2026-04-14,slowdown_recession_deflation_risk,Slowdown / Recession / Deflation Risk,경기둔화/침체 우려장,us_global,korea_market,47.699147,WATCH,WATCH,53.968609,1.0,"SPY 60d return (+0.0793, z=-0.53)","GLD 20d return (-0.0825, z=-1.10) | IEF 60d return (-0.0371, z=-0.74)",수요 둔화와 침체/디플레이션 압력이 커지는 방어적 장세입니다. 주식 beta와 신용위험을 보수적으로 봅니다.,phase4_scenario_vector_v1
2026-04-14,2026-04-14,stagflation_reinflation_energy_shock,Stagflation / Reinflation / Energy Shock,물가·에너지 재상승장,us_global,fx_krw,46.026696,WATCH,WATCH,49.089021,1.0,"USO 20d return (+0.0274, z=+0.18)","SPY 20d return (-0.0516, z=+0.69) | XLE 20d return (-0.0454, z=-0.91)",성장 부담이 있는데 유가·원자재·인플레이션 압력이 다시 커지는 장세입니다. 에너지/원자재 수혜와 장기채 부담을 함께 봅니다.,phase4_scenario_vector_v1
2026-04-14,2026-04-14,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,44.781764,OFF,PROVISIONAL,25.239421,0.521739,"FXI 20d return (+0.0055, z=-0.07) | KOSPI 200 20d return (+0.0051, z=-0.10)","UUP 20d return (-0.0676, z=-0.90)",달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,phase4_scenario_vector_v1
2026-04-14,2026-04-14,china_trade_fragmentation_shock,China / Trade Fragmentation Shock,중국·무역분절 충격장,china_asia,korea_market|korea_semiconductor|fx_krw,41.769091,OFF,OFF,50.004241,0.875,"FXI minus SPY 20d return (+0.0476, z=-0.95)","SOXX 20d return (-0.1603, z=+1.60) | UUP 20d return (-0.0450, z=-0.90)",중국 경기·무역갈등·공급망 충격이 한국/아시아와 반도체 자산에 번지는 장세입니다. 한국 반도체 factor와 원화 약세를 함께 확인합니다.,phase4_scenario_vector_v1
2026-04-14,2026-04-14,higher_for_longer_long_rate_shock,Higher-for-Longer / Long-Rate Shock,장기금리 부담장,us_global,korea_semiconductor|fx_krw,35.931386,OFF,OFF,50.056457,0.88,,"HYG 20d return (-0.0886, z=+1.18) | UUP 20d return (-0.0676, z=-0.90) | QQQ 20d return (-0.0610, z=+0.61)",장기금리와 달러 강세 부담이 채권·성장주·신용자산을 압박하는 장세입니다. 고밸류 성장주와 반도체 factor 민감도를 점검합니다.,phase4_scenario_vector_v1
2026-04-14,2026-04-14,acute_global_stress_liquidity_crunch,Acute Global Stress / Liquidity Crunch,급성 리스크오프/유동성 경색장,us_global,korea_market|fx_krw,29.814918,OFF,OFF,69.362313,1.0,,"SPY 5d return (-0.2000, z=+2.50) | QQQ 5d return (-0.1500, z=+2.45) | HYG 5d return (-0.1090, z=+1.45)",변동성이 튀고 위험자산이 동반 약세를 보이는 단기 스트레스 장세입니다. 상관관계 상승과 유동성 악화를 우선 점검합니다.,phase4_scenario_vector_v1
