date,scenario_code,structured_confidence,structured_coverage,event_overlay_confidence,event_count,overlay_applied,final_confidence,merge_engine_version
2021-08-23,semiconductor_ai_cycle_shock,2.551685,0.05,,0,N,2.551685,phase6_final_market_state_v1
2021-08-23,usd_strength_krw_weakness,25.095757,0.26087,,0,N,25.095757,phase6_final_market_state_v1
2021-08-24,acute_global_stress_liquidity_crunch,51.977778,0.916667,,0,N,51.977778,phase6_final_market_state_v1
2021-08-24,geopolitical_escalation_supply_shock,31.496288,0.6,,0,N,31.496288,phase6_final_market_state_v1
2021-08-24,semiconductor_ai_cycle_shock,2.499753,0.05,,0,N,2.499753,phase6_final_market_state_v1
2021-08-24,usd_strength_krw_weakness,22.822536,0.26087,,0,N,22.822536,phase6_final_market_state_v1
2021-08-25,acute_global_stress_liquidity_crunch,68.192626,0.916667,,0,N,68.192626,phase6_final_market_state_v1
2021-08-25,geopolitical_escalation_supply_shock,40.578877,0.6,,0,N,40.578877,phase6_final_market_state_v1
2021-08-25,semiconductor_ai_cycle_shock,2.791098,0.05,,0,N,2.791098,phase6_final_market_state_v1
2021-08-25,usd_strength_krw_weakness,22.486268,0.26087,,0,N,22.486268,phase6_final_market_state_v1
2021-08-26,acute_global_stress_liquidity_crunch,61.846026,0.916667,,0,N,61.846026,phase6_final_market_state_v1
2021-08-26,geopolitical_escalation_supply_shock,39.670726,0.6,,0,N,39.670726,phase6_final_market_state_v1
2021-08-26,semiconductor_ai_cycle_shock,2.628828,0.05,,0,N,2.628828,phase6_final_market_state_v1
2021-08-26,usd_strength_krw_weakness,25.166127,0.26087,,0,N,25.166127,phase6_final_market_state_v1
2021-08-27,acute_global_stress_liquidity_crunch,63.147858,0.916667,,0,N,63.147858,phase6_final_market_state_v1
2021-08-27,geopolitical_escalation_supply_shock,46.789528,0.6,,0,N,46.789528,phase6_final_market_state_v1
2021-08-27,semiconductor_ai_cycle_shock,3.074287,0.05,,0,N,3.074287,phase6_final_market_state_v1
2021-08-29,china_trade_fragmentation_shock,5.840213,0.125,,0,N,5.840213,phase6_final_market_state_v1
2021-08-29,geopolitical_escalation_supply_shock,4.672171,0.1,,0,N,4.672171,phase6_final_market_state_v1
2021-08-29,higher_for_longer_long_rate_shock,5.606605,0.12,,0,N,5.606605,phase6_final_market_state_v1
2021-08-29,korea_domestic_financial_stress,4.672171,0.1,,0,N,4.672171,phase6_final_market_state_v1
2021-08-29,semiconductor_ai_cycle_shock,4.672171,0.1,,0,N,4.672171,phase6_final_market_state_v1
2021-08-29,soft_landing_goldilocks,6.094136,0.130435,,0,N,6.094136,phase6_final_market_state_v1
2021-08-29,usd_strength_krw_weakness,31.160034,0.478261,,0,N,31.160034,phase6_final_market_state_v1
2021-08-30,acute_global_stress_liquidity_crunch,55.174796,0.916667,,0,N,55.174796,phase6_final_market_state_v1
2021-08-30,china_trade_fragmentation_shock,5.850068,0.125,,0,N,5.850068,phase6_final_market_state_v1
2021-08-30,geopolitical_escalation_supply_shock,42.710657,0.7,,0,N,42.710657,phase6_final_market_state_v1
2021-08-30,higher_for_longer_long_rate_shock,5.616065,0.12,,0,N,5.616065,phase6_final_market_state_v1
2021-08-30,korea_domestic_financial_stress,4.680054,0.1,,0,N,4.680054,phase6_final_market_state_v1
2021-08-30,semiconductor_ai_cycle_shock,7.883071,0.15,,0,N,7.883071,phase6_final_market_state_v1
2021-08-30,soft_landing_goldilocks,6.104418,0.130435,,0,N,6.104418,phase6_final_market_state_v1
2021-08-30,usd_strength_krw_weakness,32.795776,0.478261,,0,N,32.795776,phase6_final_market_state_v1
2021-08-31,acute_global_stress_liquidity_crunch,50.181281,0.916667,,0,N,50.181281,phase6_final_market_state_v1
2021-08-31,china_trade_fragmentation_shock,6.020891,0.125,,0,N,6.020891,phase6_final_market_state_v1
2021-08-31,geopolitical_escalation_supply_shock,35.24589,0.7,,0,N,35.24589,phase6_final_market_state_v1
